date,code,close
2024-01-26,600438.SH,24.75
2024-01-26,600519.SH,1565.58
2024-01-26,601318.SH,38.59
2024-01-29,000001.SZ,8.75
2024-01-29,000333.SZ,55.26
2024-01-29,000651.SZ,32.49
2024-01-29,000725.SZ,3.71
2024-01-29,000858.SZ,123.9
2024-01-29,002236.SZ,15.92
2024-01-29,002352.SZ,35.16
2024-01-29,002415.SZ,30.62
2024-01-29,002714.SZ,34.86
2024-01-29,300750.SZ,142.82
2024-01-29,600000.SH,6.61
2024-01-29,600030.SH,19.87
2024-01-29,600031.SH,13.3
2024-01-29,600036.SH,29.4
2024-01-29,600048.SH,9.45
2024-01-29,600104.SH,13.46
2024-01-29,600309.SH,70.81
2024-01-29,600438.SH,23.32
2024-01-29,600519.SH,1582.26
2024-01-29,601318.SH,38.85
2024-01-30,000001.SZ,8.67
2024-01-30,000333.SZ,55.56
2024-01-30,000651.SZ,32.74
2024-01-30,000725.SZ,3.62
2024-01-30,000858.SZ,120.58
2024-01-30,002236.SZ,15.65
2024-01-30,002352.SZ,32.54
2024-01-30,002415.SZ,30.96
2024-01-30,002714.SZ,34.8
2024-01-30,300750.SZ,136.39
2024-01-30,600000.SH,6.58
2024-01-30,600030.SH,19.62
2024-01-30,600031.SH,13.04
2024-01-30,600036.SH,29.03
2024-01-30,600048.SH,9.25
2024-01-30,600104.SH,13.33
2024-01-30,600309.SH,69.03
2024-01-30,600438.SH,23.0
2024-01-30,600519.SH,1553.04
2024-01-30,601318.SH,38.14
2024-01-31,000001.SZ,8.57
2024-01-31,000333.SZ,55.0
2024-01-31,000651.SZ,32.96
2024-01-31,000725.SZ,3.55
2024-01-31,000858.SZ,119.36
2024-01-31,002236.SZ,15.01
2024-01-31,002352.SZ,32.83
2024-01-31,002415.SZ,30.04
2024-01-31,002714.SZ,33.86
2024-01-31,300750.SZ,139.89
2024-01-31,600000.SH,6.5
2024-01-31,600030.SH,19.6
2024-01-31,600031.SH,12.83
2024-01-31,600036.SH,28.85
2024-01-31,600048.SH,8.93
2024-01-31,600104.SH,13.17
2024-01-31,600309.SH,67.86
2024-01-31,600438.SH,22.33
2024-01-31,600519.SH,1541.59
2024-01-31,601318.SH,37.97
2024-02-01,000001.SZ,8.53
2024-02-01,000333.SZ,55.56
2024-02-01,000651.SZ,33.06
2024-02-01,000725.SZ,3.54
2024-02-01,000858.SZ,118.27
2024-02-01,002236.SZ,14.89
2024-02-01,002352.SZ,33.02
2024-02-01,002415.SZ,30.33
2024-02-01,002714.SZ,34.09
2024-02-01,300750.SZ,144.34
2024-02-01,600000.SH,6.54
2024-02-01,600030.SH,19.62
2024-02-01,600031.SH,12.82
2024-02-01,600036.SH,28.48
2024-02-01,600048.SH,8.75
2024-02-01,600104.SH,13.25
2024-02-01,600309.SH,67.8
2024-02-01,600438.SH,22.9
2024-02-01,600519.SH,1544.36
2024-02-01,601318.SH,37.91
2024-02-02,000001.SZ,8.28
2024-02-02,000333.SZ,54.9
2024-02-02,000651.SZ,32.7
2024-02-02,000725.SZ,3.52
2024-02-02,000858.SZ,115.83
2024-02-02,002236.SZ,14.99
2024-02-02,002352.SZ,31.85
2024-02-02,002415.SZ,29.03
2024-02-02,002714.SZ,33.79
2024-02-02,300750.SZ,139.28
2024-02-02,600000.SH,6.48
2024-02-02,600030.SH,19.03
2024-02-02,600031.SH,12.54
2024-02-02,600036.SH,27.96
2024-02-02,600048.SH,8.62
2024-02-02,600104.SH,12.82
2024-02-02,600309.SH,65.08
2024-02-02,600438.SH,22.28
2024-02-02,600519.SH,1525.06
2024-02-02,601318.SH,37.03
2024-02-05,000001.SZ,8.32
2024-02-05,000333.SZ,55.39
2024-02-05,000651.SZ,33.17
2024-02-05,000725.SZ,3.54
2024-02-05,000858.SZ,116.17
2024-02-05,002236.SZ,14.52
2024-02-05,002352.SZ,31.42
2024-02-05,002415.SZ,29.47
2024-02-05,002714.SZ,33.53
2024-02-05,300750.SZ,138.24
2024-02-05,600000.SH,6.52
2024-02-05,600030.SH,19.12
2024-02-05,600031.SH,12.52
2024-02-05,600036.SH,28.35
2024-02-05,600048.SH,8.6
2024-02-05,600104.SH,13.0
2024-02-05,600309.SH,66.53
2024-02-05,600438.SH,22.07
2024-02-05,600519.SH,1538.81
2024-02-05,601318.SH,37.67
2024-02-06,000001.SZ,8.49
2024-02-06,000333.SZ,56.54
2024-02-06,000651.SZ,33.57
2024-02-06,000725.SZ,3.58
2024-02-06,000858.SZ,118.8
2024-02-06,002236.SZ,14.89
2024-02-06,002352.SZ,32.44
2024-02-06,002415.SZ,29.9
2024-02-06,002714.SZ,34.56
2024-02-06,300750.SZ,146.51
2024-02-06,600000.SH,6.62
2024-02-06,600030.SH,19.35
2024-02-06,600031.SH,12.84
2024-02-06,600036.SH,28.86
2024-02-06,600048.SH,8.62
2024-02-06,600104.SH,13.32
2024-02-06,600309.SH,67.85
2024-02-06,600438.SH,22.71
2024-02-06,600519.SH,1568.57
2024-02-06,601318.SH,38.33
2024-02-07,000001.SZ,8.66
2024-02-07,000333.SZ,56.55
2024-02-07,000651.SZ,33.49
2024-02-07,000725.SZ,3.79
2024-02-07,000858.SZ,124.85
2024-02-07,002236.SZ,15.75
2024-02-07,002352.SZ,34.28
2024-02-07,002415.SZ,31.4
2024-02-07,002714.SZ,35.64
2024-02-07,300750.SZ,151.54
2024-02-07,600000.SH,6.61
2024-02-07,600030.SH,20.22
2024-02-07,600031.SH,13.27
2024-02-07,600036.SH,29.06
2024-02-07,600048.SH,8.82
2024-02-07,600104.SH,13.58
2024-02-07,600309.SH,69.6
2024-02-07,600438.SH,23.84
2024-02-07,600519.SH,1602.82
2024-02-07,601318.SH,39.26
2024-02-08,000001.SZ,8.7
2024-02-08,000333.SZ,57.46
2024-02-08,000651.SZ,33.95
2024-02-08,000725.SZ,3.8
2024-02-08,000858.SZ,125.42
2024-02-08,002236.SZ,16.35
2024-02-08,002352.SZ,35.1
2024-02-08,002415.SZ,32.14
2024-02-08,002714.SZ,36.35
2024-02-08,300750.SZ,154.34
2024-02-08,600000.SH,6.58
2024-02-08,600030.SH,20.4
2024-02-08,600031.SH,13.6
2024-02-08,600036.SH,29.26
2024-02-08,600048.SH,9.07
2024-02-08,600104.SH,13.92
2024-02-08,600309.SH,71.48
2024-02-08,600438.SH,24.53
2024-02-08,600519.SH,1625.39
2024-02-08,601318.SH,40.02
2024-02-19,000001.SZ,8.81
2024-02-19,000333.SZ,57.29
2024-02-19,000651.SZ,34.14
2024-02-19,000725.SZ,3.83
2024-02-19,000858.SZ,127.38
2024-02-19,002236.SZ,17.11
2024-02-19,002352.SZ,35.89
2024-02-19,002415.SZ,32.61
2024-02-19,002714.SZ,36.04
2024-02-19,300750.SZ,154.55
2024-02-19,600000.SH,6.7
2024-02-19,600030.SH,19.89
2024-02-19,600031.SH,13.81
2024-02-19,600036.SH,29.63
2024-02-19,600048.SH,9.08
2024-02-19,600104.SH,14.07
2024-02-19,600309.SH,72.02
2024-02-19,600438.SH,24.65
2024-02-19,600519.SH,1628.28
2024-02-19,601318.SH,40.37
2024-02-20,000001.SZ,8.89
2024-02-20,000333.SZ,57.16
2024-02-20,000651.SZ,34.88
2024-02-20,000725.SZ,3.88
2024-02-20,000858.SZ,125.7
2024-02-20,002236.SZ,17.02
2024-02-20,002352.SZ,36.03
2024-02-20,002415.SZ,32.41
2024-02-20,002714.SZ,36.15
2024-02-20,300750.SZ,151.61
2024-02-20,600000.SH,6.81
2024-02-20,600030.SH,20.01
2024-02-20,600031.SH,13.69
2024-02-20,600036.SH,29.51
2024-02-20,600048.SH,9.28
2024-02-20,600104.SH,14.03
2024-02-20,600309.SH,72.07
2024-02-20,600438.SH,24.31
2024-02-20,600519.SH,1597.95
2024-02-20,601318.SH,39.97
2024-02-21,000001.SZ,8.92
2024-02-21,000333.SZ,58.13
2024-02-21,000651.SZ,35.51
2024-02-21,000725.SZ,3.89
2024-02-21,000858.SZ,125.55
2024-02-21,002236.SZ,17.05
2024-02-21,002352.SZ,36.16
2024-02-21,002415.SZ,32.62
2024-02-21,002714.SZ,37.21
2024-02-21,300750.SZ,151.87
2024-02-21,600000.SH,6.84
2024-02-21,600030.SH,20.14
2024-02-21,600031.SH,13.73
2024-02-21,600036.SH,29.57
2024-02-21,600048.SH,9.18
2024-02-21,600104.SH,14.15
2024-02-21,600309.SH,72.69
2024-02-21,600438.SH,24.28
2024-02-21,600519.SH,1603.2
2024-02-21,601318.SH,39.89
2024-02-22,000001.SZ,9.7
2024-02-22,000333.SZ,58.46
2024-02-22,000651.SZ,35.5
2024-02-22,000725.SZ,3.91
2024-02-22,000858.SZ,131.78
2024-02-22,002236.SZ,17.29
2024-02-22,002352.SZ,37.21
2024-02-22,002415.SZ,33.2
2024-02-22,002714.SZ,37.34
2024-02-22,300750.SZ,154.34
2024-02-22,600000.SH,6.93
2024-02-22,600030.SH,20.54
2024-02-22,600031.SH,13.77
2024-02-22,600036.SH,30.55
2024-02-22,600048.SH,9.44
2024-02-22,600104.SH,14.3
2024-02-22,600309.SH,75.41
2024-02-22,600438.SH,24.86
2024-02-22,600519.SH,1640.37
2024-02-22,601318.SH,41.02
2024-02-23,000001.SZ,9.9
2024-02-23,000333.SZ,56.82
2024-02-23,000651.SZ,35.79
2024-02-23,000725.SZ,3.92
2024-02-23,000858.SZ,132.36
2024-02-23,002236.SZ,17.19
2024-02-23,002352.SZ,37.29
2024-02-23,002415.SZ,33.1
2024-02-23,002714.SZ,37.28
2024-02-23,300750.SZ,154.52
2024-02-23,600000.SH,6.95
2024-02-23,600030.SH,20.77
2024-02-23,600031.SH,13.65
2024-02-23,600036.SH,30.77
2024-02-23,600048.SH,9.44
2024-02-23,600104.SH,14.38
2024-02-23,600309.SH,75.36
2024-02-23,600438.SH,24.99
2024-02-23,600519.SH,1639.87
2024-02-23,601318.SH,41.39
2024-02-26,000001.SZ,9.59
2024-02-26,000333.SZ,57.33
2024-02-26,000651.SZ,36.46
2024-02-26,000725.SZ,3.9
2024-02-26,000858.SZ,131.42
2024-02-26,002236.SZ,17.32
2024-02-26,002352.SZ,37.39
2024-02-26,002415.SZ,33.34
2024-02-26,002714.SZ,37.04
2024-02-26,300750.SZ,150.28
2024-02-26,600000.SH,6.84
2024-02-26,600030.SH,20.62
2024-02-26,600031.SH,13.82
2024-02-26,600036.SH,30.26
2024-02-26,600048.SH,9.28
2024-02-26,600104.SH,14.35
2024-02-26,600309.SH,74.4
2024-02-26,600438.SH,24.82
2024-02-26,600519.SH,1625.4
2024-02-26,601318.SH,40.73
2024-02-27,000001.SZ,9.55
2024-02-27,000333.SZ,57.57
2024-02-27,000651.SZ,36.37
2024-02-27,000725.SZ,3.89
2024-02-27,000858.SZ,130.47
2024-02-27,002236.SZ,17.2
2024-02-27,002352.SZ,36.7
2024-02-27,002415.SZ,32.95
2024-02-27,002714.SZ,37.15
2024-02-27,300750.SZ,150.13
2024-02-27,600000.SH,6.81
2024-02-27,600030.SH,20.54
2024-02-27,600031.SH,13.68
2024-02-27,600036.SH,30.17
2024-02-27,600048.SH,9.26
2024-02-27,600104.SH,14.33
2024-02-27,600309.SH,74.69
2024-02-27,600438.SH,24.69
2024-02-27,600519.SH,1618.63
2024-02-27,601318.SH,40.54
2024-02-28,000001.SZ,9.5
2024-02-28,000333.SZ,58.39
2024-02-28,000651.SZ,36.4
2024-02-28,000725.SZ,3.87
2024-02-28,000858.SZ,131.15
2024-02-28,002236.SZ,17.27
2024-02-28,002352.SZ,36.26
2024-02-28,002415.SZ,33.58
2024-02-28,002714.SZ,37.42
2024-02-28,300750.SZ,152.53
2024-02-28,600000.SH,6.83
2024-02-28,600030.SH,20.32
2024-02-28,600031.SH,13.54
2024-02-28,600036.SH,29.8
2024-02-28,600048.SH,9.24
2024-02-28,600104.SH,14.32
2024-02-28,600309.SH,75.69
2024-02-28,600438.SH,24.92
2024-02-28,600519.SH,1614.78
2024-02-28,601318.SH,40.49
2024-02-29,000001.SZ,9.51
2024-02-29,000333.SZ,59.15
2024-02-29,000651.SZ,36.54
2024-02-29,000725.SZ,3.85
2024-02-29,000858.SZ,131.09
2024-02-29,002236.SZ,17.1
2024-02-29,002352.SZ,36.1
2024-02-29,002415.SZ,33.29
2024-02-29,002714.SZ,37.36
2024-02-29,300750.SZ,151.21
2024-02-29,600000.SH,6.84
2024-02-29,600030.SH,20.27
2024-02-29,600031.SH,13.49
2024-02-29,600036.SH,30.04
2024-02-29,600048.SH,9.14
2024-02-29,600104.SH,14.29
2024-02-29,600309.SH,75.63
2024-02-29,600438.SH,24.81
2024-02-29,600519.SH,1619.79
2024-02-29,601318.SH,40.35
2024-03-01,000001.SZ,9.53
2024-03-01,000333.SZ,60.23
2024-03-01,000651.SZ,36.77
2024-03-01,000725.SZ,3.96
2024-03-01,000858.SZ,133.15
2024-03-01,002236.SZ,17.77
2024-03-01,002352.SZ,36.16
2024-03-01,002415.SZ,33.81
2024-03-01,002714.SZ,36.81
2024-03-01,300750.SZ,157.76
2024-03-01,600000.SH,6.85
2024-03-01,600030.SH,20.42
2024-03-01,600031.SH,13.65
2024-03-01,600036.SH,29.95
2024-03-01,600048.SH,9.02
2024-03-01,600104.SH,14.49
2024-03-01,600309.SH,76.56
2024-03-01,600438.SH,25.11
2024-03-01,600519.SH,1617.36
2024-03-01,601318.SH,40.37
2024-03-04,000001.SZ,9.43
2024-03-04,000333.SZ,60.83
2024-03-04,000651.SZ,37.62
2024-03-04,000725.SZ,4.01
2024-03-04,000858.SZ,132.36
2024-03-04,002236.SZ,18.14
2024-03-04,002352.SZ,36.12
2024-03-04,002415.SZ,33.71
2024-03-04,002714.SZ,36.74
2024-03-04,300750.SZ,158.12
2024-03-04,600000.SH,6.8
2024-03-04,600030.SH,20.38
2024-03-04,600031.SH,13.71
2024-03-04,600036.SH,29.68
2024-03-04,600048.SH,8.7
2024-03-04,600104.SH,14.46
2024-03-04,600309.SH,73.93
2024-03-04,600438.SH,25.54
2024-03-04,600519.SH,1610.96
2024-03-04,601318.SH,40.07
2024-03-05,000001.SZ,9.37
2024-03-05,000333.SZ,60.78
2024-03-05,000651.SZ,37.33
2024-03-05,000725.SZ,4.0
2024-03-05,000858.SZ,131.68
2024-03-05,002236.SZ,18.13
2024-03-05,002352.SZ,35.76
2024-03-05,002415.SZ,33.59
2024-03-05,002714.SZ,36.72
2024-03-05,300750.SZ,155.43
2024-03-05,600000.SH,6.79
2024-03-05,600030.SH,20.34
2024-03-05,600031.SH,13.66
2024-03-05,600036.SH,29.53
2024-03-05,600048.SH,8.68
2024-03-05,600104.SH,14.46
2024-03-05,600309.SH,73.49
2024-03-05,600438.SH,25.73
2024-03-05,600519.SH,1607.71
2024-03-05,601318.SH,39.92
2024-03-06,000001.SZ,9.43
2024-03-06,000333.SZ,61.6
2024-03-06,000651.SZ,37.82
2024-03-06,000725.SZ,4.02
2024-03-06,000858.SZ,130.91
2024-03-06,002236.SZ,19.16
2024-03-06,002352.SZ,35.76
2024-03-06,002415.SZ,33.42
2024-03-06,002714.SZ,37.81
2024-03-06,300750.SZ,157.08
2024-03-06,600000.SH,6.87
2024-03-06,600030.SH,20.35
2024-03-06,600031.SH,13.72
2024-03-06,600036.SH,30.06
2024-03-06,600048.SH,8.7
2024-03-06,600104.SH,14.6
2024-03-06,600309.SH,73.85
2024-03-06,600438.SH,25.61
2024-03-06,600519.SH,1618.65
2024-03-06,601318.SH,40.31
2024-03-07,000001.SZ,9.43
2024-03-07,000333.SZ,61.5
2024-03-07,000651.SZ,38.06
2024-03-07,000725.SZ,3.99
2024-03-07,000858.SZ,130.66
2024-03-07,002236.SZ,18.64
2024-03-07,002352.SZ,35.32
2024-03-07,002415.SZ,32.85
2024-03-07,002714.SZ,38.19
2024-03-07,300750.SZ,154.93
2024-03-07,600000.SH,6.86
2024-03-07,600030.SH,20.04
2024-03-07,600031.SH,13.8
2024-03-07,600036.SH,29.97
2024-03-07,600048.SH,8.68
2024-03-07,600104.SH,14.56
2024-03-07,600309.SH,73.91
2024-03-07,600438.SH,25.41
2024-03-07,600519.SH,1618.63
2024-03-07,601318.SH,40.57
2024-03-08,000001.SZ,9.41
2024-03-08,000333.SZ,62.15
2024-03-08,000651.SZ,38.31
2024-03-08,000725.SZ,3.99
2024-03-08,000858.SZ,129.16
2024-03-08,002236.SZ,18.63
2024-03-08,002352.SZ,35.16
2024-03-08,002415.SZ,32.47
2024-03-08,002714.SZ,38.0
2024-03-08,300750.SZ,152.18
2024-03-08,600000.SH,6.86
2024-03-08,600030.SH,20.04
2024-03-08,600031.SH,13.68
2024-03-08,600036.SH,29.76
2024-03-08,600048.SH,8.55
2024-03-08,600104.SH,14.52
2024-03-08,600309.SH,74.69
2024-03-08,600438.SH,25.49
2024-03-08,600519.SH,1610.96
2024-03-08,601318.SH,40.4
2024-03-11,000001.SZ,9.44
2024-03-11,000333.SZ,61.84
2024-03-11,000651.SZ,37.82
2024-03-11,000725.SZ,4.0
2024-03-11,000858.SZ,130.45
2024-03-11,002236.SZ,18.73
2024-03-11,002352.SZ,35.5
2024-03-11,002415.SZ,32.71
2024-03-11,002714.SZ,38.24
2024-03-11,300750.SZ,159.41
2024-03-11,600000.SH,6.81
2024-03-11,600030.SH,20.2
2024-03-11,600031.SH,13.67
2024-03-11,600036.SH,29.43
2024-03-11,600048.SH,8.63
2024-03-11,600104.SH,14.5
2024-03-11,600309.SH,74.87
2024-03-11,600438.SH,25.82
2024-03-11,600519.SH,1613.98
2024-03-11,601318.SH,40.58
2024-03-12,000001.SZ,9.51
2024-03-12,000333.SZ,60.4
2024-03-12,000651.SZ,36.73
2024-03-12,000725.SZ,4.0
2024-03-12,000858.SZ,133.42
2024-03-12,002236.SZ,18.93
2024-03-12,002352.SZ,36.18
2024-03-12,002415.SZ,32.95
2024-03-12,002714.SZ,38.58
2024-03-12,300750.SZ,174.86
2024-03-12,600000.SH,6.83
2024-03-12,600030.SH,20.48
2024-03-12,600031.SH,13.63
2024-03-12,600036.SH,29.5
2024-03-12,600048.SH,8.93
2024-03-12,600104.SH,14.44
2024-03-12,600309.SH,75.02
2024-03-12,600438.SH,26.26
2024-03-12,600519.SH,1630.69
2024-03-12,601318.SH,40.71
2024-03-13,000001.SZ,9.41
2024-03-13,000333.SZ,60.35
2024-03-13,000651.SZ,36.76
2024-03-13,000725.SZ,4.01
2024-03-13,000858.SZ,139.07
2024-03-13,002236.SZ,19.07
2024-03-13,002352.SZ,36.78
2024-03-13,002415.SZ,33.08
2024-03-13,002714.SZ,38.15
2024-03-13,300750.SZ,178.06
2024-03-13,600000.SH,6.78
2024-03-13,600030.SH,20.37
2024-03-13,600031.SH,13.72
2024-03-13,600036.SH,29.64
2024-03-13,600048.SH,9.19
2024-03-13,600104.SH,14.4
