Date,Open,High,Low,Close,Volume
2024-01-26,3326.65,3351.97,3315.13,3333.82,180664005
2024-01-29,3335.39,3351.37,3303.96,3303.96,184164795
2024-01-30,3283.9,3300.2,3244.97,3245.04,143649350
2024-01-31,3231.54,3252.15,3201.93,3215.35,153143469
2024-02-01,3202.26,3251.76,3191.9,3217.71,145516792
2024-02-02,3219.87,3235.41,3108.35,3179.63,173758089
2024-02-05,3164.25,3233.85,3111.52,3200.42,203042970
2024-02-06,3185.25,3314.51,3182.82,3311.69,202713099
2024-02-07,3314.03,3343.63,3289.67,3343.63,216647933
2024-02-08,3351.41,3367.21,3336.98,3364.93,189977578
2024-02-19,3393.19,3403.81,3364.14,3403.81,183319800
2024-02-20,3395.19,3415.89,3380.1,3410.85,140734581
2024-02-21,3390.36,3500.13,3383.69,3456.87,188879362
2024-02-22,3450.35,3486.68,3448.41,3486.67,141020784
2024-02-23,3491.34,3507.56,3472.97,3489.74,144821273
2024-02-26,3485.54,3492.61,3445.39,3453.36,151248331
2024-02-27,3440.05,3494.79,3437.44,3494.79,139528246
2024-02-28,3499.83,3521.66,3450.26,3450.26,189837548
2024-02-29,3437.9,3516.08,3437.9,3516.08,155944532
2024-03-01,3515.06,3544.36,3503.46,3537.8,162709570
2024-03-04,3538.37,3548.69,3519.76,3540.87,163244613
2024-03-05,3524.96,3570.69,3519.08,3565.51,166422389
2024-03-06,3556.53,3577.39,3545.1,3551.05,143076613
2024-03-07,3548.1,3569.92,3522.9,3529.72,148110510
2024-03-08,3529.55,3548.51,3511.58,3544.91,125792664
2024-03-11,3545.94,3589.26,3542.28,3589.26,148202825
2024-03-12,3592.58,3605.7,3574.21,3597.49,180685560
2024-03-13,3594.42,3594.42,3563.37,3572.36,144590590
2024-03-14,3571.79,3597.46,3545.61,3562.22,140962722
2024-03-15,3554.91,3572.81,3533.68,3569.99,138316044
2024-03-18,3577.06,3604.05,3573.4,3603.53,160379438
2024-03-19,3593.34,3610.74,3577.19,3577.63,145571786
2024-03-20,3568.72,3589.55,3568.43,3585.38,129528966
2024-03-21,3593.07,3601.11,3575.03,3581.09,130743377
2024-03-22,3571.27,3575.72,3522.84,3545.0,139227358
2024-03-25,3536.71,3564.96,3525.76,3525.76,137015724
2024-03-26,3526.68,3547.65,3518.6,3543.75,126209535
2024-03-27,3538.72,3542.96,3502.79,3502.79,128626763
2024-03-28,3498.48,3551.21,3489.39,3520.96,143334717
2024-03-29,3516.88,3538.24,3516.88,3537.48,128643290
2024-04-01,3551.58,3600.92,3551.58,3595.65,162776561
2024-04-02,3593.22,3596.19,3568.75,3580.68,141272972
2024-04-03,3578.68,3582.43,3558.87,3567.8,135592331
2024-04-08,3553.56,3567.82,3535.77,3536.41,155304283
2024-04-09,3533.38,3543.71,3518.86,3533.49,129670942
2024-04-10,3528.97,3531.23,3490.05,3504.71,128790274
2024-04-11,3485.03,3520.59,3484.93,3504.24,126534395
2024-04-12,3505.75,3516.7,3470.06,3475.84,128921116
2024-04-15,3473.5,3552.41,3473.5,3549.08,183941250
2024-04-16,3533.36,3545.5,3503.62,3511.11,176153065
2024-04-17,3509.13,3565.94,3498.03,3565.4,168466398
2024-04-18,3550.56,3602.79,3547.6,3569.8,178574105
2024-04-19,3550.61,3560.95,3529.32,3541.66,147281505
2024-04-22,3536.18,3558.16,3528.02,3530.9,150579042
2024-04-23,3525.67,3533.76,3499.98,3506.22,143113504
2024-04-24,3514.01,3524.54,3495.65,3521.62,121739851
2024-04-25,3510.64,3543.97,3505.2,3530.28,115187722
2024-04-26,3531.96,3588.4,3531.96,3584.27,197216133
2024-04-29,3584.54,3645.82,3578.76,3623.91,222721381
2024-04-30,3619.26,3630.71,3604.39,3604.39,191296899
2024-05-06,3654.05,3668.26,3645.74,3657.88,208018007
2024-05-07,3657.0,3665.68,3648.38,3659.01,164834286
2024-05-08,3650.75,3650.94,3628.7,3630.22,130035336
2024-05-09,3630.41,3669.76,3630.41,3664.56,146559017
2024-05-10,3669.09,3674.61,3641.76,3666.28,150720536
2024-05-13,3646.35,3673.62,3634.6,3664.69,157267455
2024-05-14,3668.23,3675.78,3646.71,3657.05,133406490
2024-05-15,3651.05,3656.53,3624.0,3626.06,123522764
2024-05-16,3636.6,3657.48,3626.33,3640.36,154630503
2024-05-17,3638.56,3677.97,3627.45,3677.97,164570417
2024-05-20,3682.06,3703.03,3677.44,3690.96,184609423
2024-05-21,3682.29,3684.61,3665.15,3676.16,130678283
2024-05-22,3675.65,3691.88,3667.09,3684.45,151914605
2024-05-23,3672.84,3674.37,3633.51,3641.79,142572990
2024-05-24,3630.83,3650.87,3599.67,3601.48,124791177
2024-05-27,3606.65,3638.15,3603.71,3635.71,131272644
2024-05-28,3633.25,3638.97,3605.92,3609.17,123532238
2024-05-29,3609.07,3633.2,3602.82,3613.52,115906321
2024-05-30,3607.05,3624.04,3586.75,3594.31,122602995
2024-05-31,3599.82,3614.64,3579.92,3579.92,112462019
2024-06-03,3577.38,3600.6,3567.87,3588.75,141054591
2024-06-04,3583.81,3622.5,3580.28,3615.67,124545096
2024-06-05,3610.36,3623.32,3594.11,3594.79,110906766
2024-06-06,3602.16,3625.01,3584.17,3592.25,137893517
2024-06-07,3594.63,3603.07,3552.09,3574.11,131103026
2024-06-11,3555.82,3565.31,3525.89,3542.88,134522306
2024-06-12,3539.09,3551.17,3531.57,3544.12,122813729
2024-06-13,3548.22,3551.08,3520.18,3526.13,123245462
2024-06-14,3514.8,3547.15,3503.52,3541.53,171516942
2024-06-17,3521.44,3540.79,3520.74,3536.2,137433438
2024-06-18,3533.49,3551.71,3532.78,3545.59,123671838
2024-06-19,3543.36,3543.36,3524.84,3528.75,106642797
2024-06-20,3525.17,3533.99,3500.13,3503.28,111617396
2024-06-21,3496.34,3505.51,3473.83,3495.62,109186615
2024-06-24,3473.64,3505.78,3471.22,3476.81,117990184
2024-06-25,3475.16,3483.22,3440.65,3457.9,118448118
2024-06-26,3451.54,3487.4,3442.3,3480.26,105898861
